"","govtrack","twitter","official_full","gender","party","state","birthday","official","ProgCauc","FreeCauc"
"22",300078,"SenBillNelson","Bill Nelson","M","Democrat","FL","1942-09-29","Bill Nelson","0",0
"23",300081,"SenJackReed","Jack Reed","M","Democrat","RI","1949-11-12","Jack Reed","0",0
"24",300082,"SenatorReid","Harry Reid","M","Democrat","NV","1939-12-02","Harry Reid","0",0
"25",300083,"SenPatRoberts","Pat Roberts","M","Republican","KS","1936-04-20","Pat Roberts","0",0
"26",300087,"SenSchumer","Charles E. Schumer","M","Democrat","NY","1950-11-23","Charles Schumer","0",0
"27",300088,"SenatorSessions","Jeff Sessions","M","Republican","AL","1946-12-24","Jeff Sessions","0",0
"28",300089,"SenShelby","Richard C. Shelby","M","Democrat","AL","1934-05-06","Richard Shelby","0",0
"29",300093,"SenStabenow","Debbie Stabenow","F","Democrat","MI","1950-04-29","Debbie Stabenow","0",0
"30",300100,"RonWyden","Ron Wyden","M","Democrat","OR","1949-05-03","Ron Wyden","0",0
"31",400004,"Robert_Aderholt","Robert B. Aderholt","M","Republican","AL","1965-07-22","Robert Aderholt","0",0
"32",400013,"SenatorBaldwin","Tammy Baldwin","F","Democrat","WI","1962-02-11","Tammy Baldwin","0",0
"33",400018,"RepJoeBarton","Joe Barton","M","Republican","TX","1949-09-15","Joe Barton","0",0
"34",400021,"RepBecerra","Xavier Becerra","M","Democrat","CA","1958-01-26","Xavier Becerra","1",0
"35",400029,"RepRobBishop","Rob Bishop","M","Republican","UT","1951-07-13","Rob Bishop","0",0
"36",400030,"SanfordBishop","Sanford D. Bishop Jr.","M","Democrat","GA","1947-02-04","Sanford Jr.","0",0
"37",400032,"MarshaBlackburn","Marsha Blackburn","F","Republican","TN","1952-06-06","Marsha Blackburn","0",0
"38",400033,"BlumenauerMedia","Earl Blumenauer","M","Democrat","OR","1948-08-16","Earl Blumenauer","0",0
"39",400034,"RoyBlunt","Roy Blunt","M","Republican","MO","1950-01-10","Roy Blunt","0",0
"40",400040,"JohnBoozman","John Boozman","M","Republican","AR","1950-12-10","John Boozman","0",0
"42",400046,"RepKevinBrady","Kevin Brady","M","Republican","TX","1955-04-11","Kevin Brady","0",0
"43",400047,"RepBrady","Robert A. Brady","M","Democrat","PA","1945-04-07","Robert Brady","0",0
"44",400048,"RepCorrineBrown","Corrine Brown","F","Democrat","FL","1946-11-11","Corrine Brown","1",0
"45",400052,"MichaelCBurgess","Michael C. Burgess","M","Republican","TX","1950-12-23","Michael Burgess","0",0
"46",400054,"SenatorBurr","Richard Burr","M","Republican","NC","1955-11-30","Richard Burr","0",0
"47",400057,"KenCalvert","Ken Calvert","M","Republican","CA","1953-06-08","Ken Calvert","0",0
"48",400061,"SenCapito","Shelley Moore Capito","F","Republican","WV","1953-11-26","Shelley Capito","0",0
"49",400062,"RepLoisCapps","Lois Capps","F","Democrat","CA","1938-01-10","Lois Capps","0",0
"50",400063,"RepMikeCapuano","Michael E. Capuano","M","Democrat","MA","1952-01-09","Michael Capuano","1",0
"51",400064,"SenatorCardin","Benjamin L. Cardin","M","Democrat","MD","1943-10-05","Benjamin Cardin","0",0
"52",400068,"JudgeCarter","John R. Carter","M","Republican","TX","1941-11-06","John Carter","0",0
"53",400071,"RepSteveChabot","Steve Chabot","M","Republican","OH","1953-01-22","Steve Chabot","0",0
"55",400075,"Clyburn","James E. Clyburn","M","Democrat","SC","1940-07-21","James Clyburn","0",0
"56",400077,"TomColeOK04","Tom Cole","M","Republican","OK","1949-04-28","Tom Cole","0",0
"57",400080,"RepJohnConyers","John Conyers Jr.","M","Democrat","MI","1929-05-16","John Jr.","0",0
"58",400081,"RepJimCooper","Jim Cooper","M","Democrat","TN","1954-06-19","Jim Cooper","0",0
"59",400086,"AnderCrenshaw","Ander Crenshaw","M","Independent","FL","1944-09-01","Ander Crenshaw","1",0
"60",400087,"RepJoeCrowley","Joseph Crowley","M","Democrat","NY","1962-03-16","Joseph Crowley","0",0
"61",400089,"CongCulberson","John Abney Culberson","M","Republican","TX","1956-08-24","John Culberson","0",0
"62",400090,"RepCummings","Elijah E. Cummings","M","Democrat","MD","1951-01-18","Elijah Cummings","1",0
"63",400093,"RepDannyDavis","Danny K. Davis","M","Democrat","IL","1941-09-06","Danny Davis","1",0
"64",400097,"RepSusanDavis","Susan A. Davis","F","Democrat","CA","1944-04-13","Susan Davis","0",0
"65",400100,"RepPeterDeFazio","Peter A. DeFazio","M","Democrat","OR","1947-05-27","Peter DeFazio","1",0
"66",400101,"RepDianaDeGette","Diana DeGette","F","Democrat","CO","1957-07-29","Diana DeGette","0",0
"67",400103,"RosaDeLauro","Rosa L. DeLauro","F","Democrat","CT","1943-03-02","Rosa DeLauro","1",0
"68",400108,"MarioDB","Mario Diaz-Balart","M","Republican","FL","1961-09-25","Mario Diaz-Balart","0",0
"69",400111,"RepLloydDoggett","Lloyd Doggett","M","Democrat","TX","1946-10-06","Lloyd Doggett","0",0
"70",400114,"USRepMikeDoyle","Michael F. Doyle","M","Democrat","PA","1953-08-05","Michael Doyle","0",0
"71",400116,"RepJohnDuncanJr","John J. Duncan Jr.","M","Republican","TN","1947-07-21","John Jr.","0",0
"72",400122,"RepEliotEngel","Eliot L. Engel","M","Democrat","NY","1947-02-18","Eliot Engel","0",0
"73",400124,"RepAnnaEshoo","Anna G. Eshoo","F","Democrat","CA","1942-12-13","Anna Eshoo","0",0
"74",400129,"RepSamFarr","Sam Farr","M","Democrat","CA","1941-07-04","Sam Farr","1",0
"75",400134,"JeffFlake","Jeff Flake","M","Republican","AZ","1962-12-31","Jeff Flake","0",0
"76",400137,"Randy_Forbes","J. Randy Forbes","M","Republican","VA","1952-02-17","J. Forbes","0",0
"77",400141,"RepTrentFranks","Trent Franks","M","Republican","AZ","1957-06-19","Trent Franks","0",1
"78",400142,"USRepRodney","Rodney P. Frelinghuysen","M","Republican","NJ","1946-04-29","Rodney Frelinghuysen","0",0
"79",400145,"RepGarrett","Scott Garrett","M","Republican","NJ","1959-07-09","Scott Garrett","0",1
"80",400154,"RepGoodlatte","Bob Goodlatte","M","Republican","VA","1952-09-22","Bob Goodlatte","0",0
"81",400157,"RepKayGranger","Kay Granger","F","Republican","TX","1943-01-18","Kay Granger","0",0
"82",400158,"RepSamGraves","Sam Graves","M","Republican","MO","1963-11-07","Sam Graves","0",0
"83",400160,"RepGeneGreen","Gene Green","M","Democrat","TX","1947-10-17","Gene Green","0",0
"84",400162,"RepraulGrijalva","Raúl M. Grijalva","M","Democrat","AZ","1948-02-19","Raúl Grijalva","0",0
"85",400163,"LuisGutierrez","Luis V. Gutiérrez","M","Democrat","IL","1953-12-10","Luis Gutiérrez","0",0
"86",400170,"RepHastingsFL","Alcee L. Hastings","M","Democrat","FL","1936-09-05","Alcee Hastings","1",0
"87",400175,"RepHensarling","Jeb Hensarling","M","Republican","TX","1957-05-29","Jeb Hensarling","1",0
"88",400179,"USRepRHinojosa","Rubén Hinojosa","M","Democrat","TX","1940-08-20","Rubén Hinojosa","0",0
"89",400185,"RepMikeHonda","Michael M. Honda","M","Democrat","CA","1941-06-27","Michael Honda","1",0
"90",400189,"WhipHoyer","Steny H. Hoyer","M","Democrat","MD","1939-06-14","Steny Hoyer","0",0
"91",400194,"SenatorIsakson","Johnny Isakson","M","Republican","GA","1944-12-28","Johnny Isakson","0",0
"92",400195,"RepSteveIsrael","Steve Israel","M","Democrat","NY","1958-05-30","Steve Israel","0",0
"93",400196,"DarrellIssa","Darrell E. Issa","M","Republican","CA","1953-11-01","Darrell Issa","0",0
"94",400199,"JacksonLeeTX18","Sheila Jackson Lee","F","Democrat","TX","1950-01-12","Sheila Lee","1",0
"95",400204,"RepEBJ","Eddie Bernice Johnson","F","Democrat","TX","1935-12-03","Eddie Johnson","1",0
"96",400206,"SamsPressShop","Sam Johnson","M","Republican","TX","1930-10-11","Sam Johnson","0",0
"97",400209,"RepWalterJones","Walter B. Jones","M","Republican","NC","1943-02-10","Walter Jones","0",0
"98",400211,"RepMarcyKaptur","Marcy Kaptur","F","Democrat","OH","1946-06-17","Marcy Kaptur","0",0
"99",400218,"RepRonKind","Ron Kind","M","Democrat","WI","1963-03-16","Ron Kind","0",0
"100",400219,"RepPeteKing","Peter T. King","M","Republican","NY","1944-04-05","Peter King","0",0
"101",400220,"SteveKingIA","Steve King","M","Republican","IA","1949-05-28","Steve King","0",0
"102",400222,"SenatorKirk","Mark Kirk","M","Republican","IL","1959-09-15","Mark Kirk","0",0
"103",400224,"RepJohnKline","John Kline","M","Republican","MN","1947-09-06","John Kline","0",0
"104",400230,"JimLangevin","James R. Langevin","M","Democrat","RI","1964-04-22","James Langevin","0",0
"105",400232,"RepRickLarsen","Rick Larsen","M","Democrat","WA","1965-06-15","Rick Larsen","0",0
"106",400233,"RepJohnLarson","John B. Larson","M","Democrat","CT","1948-07-22","John Larson","0",0
"107",400237,"RepBarbaraLee","Barbara Lee","F","Democrat","CA","1946-07-16","Barbara Lee","1",0
"108",400238,"RepSandyLevin","Sander M. Levin","M","Democrat","MI","1931-09-06","Sander Levin","0",0
"109",400240,"RepJohnLewis","John Lewis","M","Democrat","GA","1940-02-21","John Lewis","1",0
"110",400244,"RepLoBiondo","Frank A. LoBiondo","M","Republican","NJ","1946-05-12","Frank LoBiondo","0",0
"111",400245,"RepZoeLofgren","Zoe Lofgren","F","Democrat","CA","1947-12-21","Zoe Lofgren","0",0
"112",400246,"NitaLowey","Nita M. Lowey","F","Democrat","NY","1937-07-05","Nita Lowey","0",0
"113",400247,"RepFrankLucas","Frank D. Lucas","M","Republican","OK","1960-01-06","Frank Lucas","0",0
"114",400249,"RepStephenLynch","Stephen F. Lynch","M","Democrat","MA","1955-03-31","Stephen Lynch","0",0
"115",400251,"RepMaloney","Carolyn B. Maloney","F","Democrat","NY","1946-02-19","Carolyn Maloney","1",0
"116",400253,"SenMarkey","Edward J. Markey","M","Democrat","MA","1946-07-11","Edward Markey","0",0
"117",400259,"BettyMcCollum04","Betty McCollum","F","Democrat","MN","1954-07-12","Betty McCollum","0",0
"118",400262,"RepJimMcDermott","Jim McDermott","M","Democrat","WA","1936-12-28","Jim McDermott","1",0
"119",400263,"RepMcGovern","James P. McGovern","M","Democrat","MA","1959-11-20","James McGovern","1",0
"120",400271,"GregoryMeeks","Gregory W. Meeks","M","Democrat","NY","1953-09-25","Gregory Meeks","0",0
"121",400272,"SenatorMenendez","Robert Menendez","M","Democrat","NJ","1954-01-01","Robert Menendez","0",0
"123",400276,"CandiceMiller","Candice S. Miller","F","Republican","MI","1954-05-07","Candice Miller","0",0
"125",400284,"JerryMoran","Jerry Moran","M","Republican","KS","1954-05-29","Jerry Moran","0",0
"126",400285,"RepTimMurphy","Tim Murphy","M","Republican","PA","1952-09-11","Tim Murphy","0",0
"127",400289,"RepJerryNadler","Jerrold Nadler","M","Democrat","NY","1947-06-13","Jerrold Nadler","1",0
"128",400290,"GraceNapolitano","Grace F. Napolitano","F","Democrat","CA","1936-12-04","Grace Napolitano","0",0
"129",400291,"RepRichardNeal","Richard E. Neal","M","Democrat","MA","1949-02-14","Richard Neal","0",0
"130",400295,"EleanorNorton","Eleanor Holmes Norton","F","Democrat","DC","1937-06-13","Eleanor Norton","1",0
"131",400297,"Rep_DevinNunes","Devin Nunes","M","Republican","CA","1973-10-01","Devin Nunes","0",0
"132",400308,"FrankPallone","Frank Pallone Jr.","M","Democrat","NJ","1951-10-30","Frank Jr.","1",0
"133",400309,"BillPascrell","Bill Pascrell Jr.","M","Democrat","NJ","1937-01-25","Bill Jr.","0",0
"134",400313,"RepStevePearce","Stevan Pearce","M","Republican","NM","1947-08-24","Stevan Pearce","0",1
"135",400314,"NancyPelosi","Nancy Pelosi","F","Democrat","CA","1940-03-26","Nancy Pelosi","0",0
"136",400320,"RepJoePitts","Joseph R. Pitts","M","Republican","PA","1939-10-10","Joseph Pitts","1",0
"137",400325,"SenRobPortman","Rob Portman","M","Republican","OH","1955-12-19","Rob Portman","0",0
"138",400326,"RepDavidEPrice","David E. Price","M","Democrat","NC","1940-08-17","David Price","0",0
"139",400333,"CBRangel","Charles B. Rangel","M","Democrat","NY","1930-06-11","Charles Rangel","1",0
"140",400340,"RepHalRogers","Harold Rogers","M","Republican","KY","1937-12-31","Harold Rogers","0",0
"141",400341,"RepMikeRogersAL","Mike Rogers","M","Republican","AL","1958-07-16","Mike Rogers","0",0
"143",400344,"RosLehtinen","Ileana Ros-Lehtinen","F","Republican","FL","1952-07-15","Ileana Ros-Lehtinen","0",0
"144",400347,"RepRoybalAllard","Lucille Roybal-Allard","F","Democrat","CA","1941-06-12","Lucille Roybal-Allard","1",0
"145",400348,"RepEdRoyce","Edward R. Royce","M","Republican","CA","1951-10-12","Edward Royce","0",0
"146",400349,"Call_Me_Dutch","C. A. Dutch Ruppersberger","M","Democrat","MD","1946-01-31","C. Ruppersberger","0",0
"147",400350,"RepBobbyRush","Bobby L. Rush","M","Democrat","IL","1946-11-23","Bobby Rush","0",0
"148",400351,"SpeakerRyan","Paul D. Ryan","M","Republican","WI","1970-01-29","Paul Ryan","0",0
"149",400352,"RepTimRyan","Tim Ryan","M","Democrat","OH","1973-07-16","Tim Ryan","0",0
"150",400355,"RepLindaSanchez","Linda T. Sánchez","F","Democrat","CA","1969-01-28","Linda Sánchez","0",0
"151",400356,"LorettaSanchez","Loretta Sanchez","F","Democrat","CA","1960-01-07","Loretta Sanchez","0",0
"152",400357,"SenSanders","Bernard Sanders","M","Independent","VT","1941-09-08","Bernard Sanders","0",0
"153",400360,"JanSchakowsky","Janice D. Schakowsky","F","Democrat","IL","1944-05-26","Janice Schakowsky","0",0
"154",400361,"RepAdamSchiff","Adam B. Schiff","M","Democrat","CA","1960-06-22","Adam Schiff","0",0
"155",400363,"RepDavidScott","David Scott","M","Democrat","GA","1945-06-27","David Scott","0",0
"156",400364,"RepBobbyScott","Robert C. ""Bobby"" Scott","M","Democrat","VA","1947-04-30","Robert Scott","0",0
"157",400365,"JimPressOffice","F. James Sensenbrenner Jr.","M","Republican","WI","1943-06-14","F. Jr.","1",0
"158",400366,"RepJoseSerrano","José E. Serrano","M","Democrat","NY","1943-10-24","José Serrano","1",0
"159",400367,"PeteSessions","Pete Sessions","M","Republican","TX","1955-03-22","Pete Sessions","0",0
"160",400371,"BradSherman","Brad Sherman","M","Democrat","CA","1954-10-24","Brad Sherman","0",0
"161",400373,"RepShimkus","John Shimkus","M","Republican","IL","1958-02-21","John Shimkus","0",0
"162",400376,"CongMikeSimpson","Michael K. Simpson","M","Republican","ID","1950-09-08","Michael Simpson","0",0
"163",400378,"LouiseSlaughter","Louise McIntosh Slaughter","F","Democrat","NY","1929-08-14","Louise Slaughter","1",0
"164",400379,"RepAdamSmith","Adam Smith","M","Democrat","WA","1965-06-15","Adam Smith","0",0
"165",400380,"RepChrisSmith","Christopher H. Smith","M","Republican","NJ","1953-03-04","Christopher Smith","0",0
"166",400381,"LamarSmithTX21","Lamar Smith","M","Republican","TX","1947-11-19","Lamar Smith","0",0
"167",400402,"BennieGThompson","Bennie G. Thompson","M","Democrat","MS","1948-01-28","Bennie Thompson","1",0
"168",400403,"RepThompson","Mike Thompson","M","Democrat","CA","1951-01-24","Mike Thompson","0",0
"169",400404,"MacTXPress","Mac Thornberry","M","Republican","TX","1958-07-15","Mac Thornberry","0",0
"170",400406,"TiberiPress","Patrick J. Tiberi","M","Republican","OH","1962-10-21","Patrick Tiberi","0",0
"171",400408,"SenToomey","Patrick J. Toomey","M","Republican","PA","1961-11-17","Patrick Toomey","0",0
"172",400411,"RepMikeTurner","Michael R. Turner","M","Republican","OH","1960-01-11","Michael Turner","0",0
"173",400413,"SenatorTomUdall","Tom Udall","M","Democrat","NM","1948-05-18","Tom Udall","0",0
"174",400414,"RepFredUpton","Fred Upton","M","Republican","MI","1953-04-23","Fred Upton","0",0
"175",400415,"ChrisVanHollen","Chris Van Hollen","M","Democrat","MD","1959-01-10","Chris Hollen","0",0
"176",400416,"NydiaVelazquez","Nydia M. Velázquez","F","Democrat","NY","1953-03-28","Nydia Velázquez","0",0
"177",400417,"RepVisclosky","Peter J. Visclosky","M","Democrat","IN","1949-08-13","Peter Visclosky","0",0
"179",400419,"RepGregWalden","Greg Walden","M","Republican","OR","1957-01-10","Greg Walden","0",0
"180",400422,"MaxineWaters","Maxine Waters","F","Democrat","CA","1938-08-15","Maxine Waters","1",0
"181",400432,"SenatorWicker","Roger F. Wicker","M","Republican","MS","1951-07-05","Roger Wicker","0",0
"182",400433,"RepJoeWilson","Joe Wilson","M","Republican","SC","1947-07-31","Joe Wilson","1",0
"183",400440,"RepDonYoung","Don Young","M","Republican","AK","1933-06-09","Don Young","0",0
"184",400441,"RandyNeugebauer","Randy Neugebauer","M","Republican","TX","1949-12-24","Randy Neugebauer","0",0
"185",400546,"SenJohnThune","John Thune","M","Republican","SD","1961-01-07","John Thune","0",0
"186",400606,"RepMattSalmon","Matt Salmon","M","Republican","AZ","1958-01-21","Matt Salmon","0",0
"187",400607,"RepSanfordSC","Mark Sanford","M","Republican","SC","1960-05-28","Mark Sanford","0",1
"188",400616,"GKButterfield","G. K. Butterfield","M","Democrat","NC","1947-04-27","G. Butterfield","0",0
"189",400618,"RepJimCosta","Jim Costa","M","Democrat","CA","1952-04-13","Jim Costa","0",0
"190",400623,"RepDWStweets","Debbie Wasserman Schultz","F","Democrat","FL","1966-09-27","Debbie Schultz","0",0
"191",400626,"RepTomPrice","Tom Price","M","Republican","GA","1954-10-08","Tom Price","0",0
"192",400627,"RepWestmoreland","Lynn A. Westmoreland","M","Republican","GA","1950-04-02","Lynn Westmoreland","0",1
"193",400630,"RepLipinski","Daniel Lipinski","M","Democrat","IL","1966-07-15","Daniel Lipinski","0",0
"194",400636,"RepBoustany","Charles W. Boustany Jr.","M","Republican","LA","1956-02-21","Charles Jr.","0",0
"195",400639,"RepCleaver","Emanuel Cleaver","M","Democrat","MO","1944-10-26","Emanuel Cleaver","0",0
"196",400640,"JeffFortenberry","Jeff Fortenberry","M","Republican","NE","1960-12-27","Jeff Fortenberry","0",0
"197",400641,"RepBrianHiggins","Brian Higgins","M","Democrat","NY","1959-10-06","Brian Higgins","0",0
"198",400643,"VirginiaFoxx","Virginia Foxx","F","Republican","NC","1943-06-29","Virginia Foxx","0",0
"199",400644,"PatrickMcHenry","Patrick T. McHenry","M","Republican","NC","1975-10-22","Patrick McHenry","0",0
"200",400646,"RepFitzpatrick","Michael G. Fitzpatrick","M","Republican","PA","1963-06-28","Michael Fitzpatrick","0",0
"202",400651,"RepLouieGohmert","Louie Gohmert","M","Republican","TX","1953-08-18","Louie Gohmert","0",0
"203",400652,"JudgeTedPoe","Ted Poe","M","Republican","TX","1948-09-10","Ted Poe","0",0
"204",400653,"RepAlGreen","Al Green","M","Democrat","TX","1947-09-01","Al Green","0",0
"205",400654,"RepMcCaul","Michael T. McCaul","M","Republican","TX","1962-01-14","Michael McCaul","0",0
"206",400655,"ConawayTX11","K. Michael Conaway","M","Republican","TX","1948-06-11","K. Conaway","0",0
"207",400656,"RepKenMarchant","Kenny Marchant","M","Republican","TX","1951-02-23","Kenny Marchant","0",0
"208",400657,"RepCuellar","Henry Cuellar","M","Democrat","TX","1955-09-19","Henry Cuellar","0",0
"209",400659,"CathyMcMorris","Cathy McMorris Rodgers","F","Republican","WA","1969-05-22","Cathy Rodgers","0",0
"210",400660,"DaveReichert","David G. Reichert","M","Republican","WA","1950-08-29","David Reichert","0",0
"211",400661,"RepGwenMoore","Gwen Moore","F","Democrat","WI","1951-04-18","Gwen Moore","1",0
"212",400663,"DorisMatsui","Doris O. Matsui","F","Democrat","CA","1944-09-25","Doris Matsui","0",0
"213",402675,"SenDanCoats","Daniel Coats","M","Republican","IN","1943-05-16","Daniel Coats","0",0
"214",408211,"USRepRickNolan","Richard M. Nolan","M","Democrat","MN","1943-12-17","Richard Nolan","0",0
"215",409888,"RepBillShuster","Bill Shuster","M","Republican","PA","1961-01-10","Bill Shuster","0",0
"216",412186,"RepSires","Albio Sires","M","Democrat","NJ","1951-01-26","Albio Sires","0",0
"217",412189,"RepMcNerney","Jerry McNerney","M","Democrat","CA","1951-06-18","Jerry McNerney","0",0
"218",412190,"GOPLeader","Kevin McCarthy","M","Republican","CA","1965-01-26","Kevin McCarthy","0",0
"219",412191,"RepDLamborn","Doug Lamborn","M","Republican","CO","1954-05-24","Doug Lamborn","0",0
"220",412192,"RepPerlmutter","Ed Perlmutter","M","Democrat","CO","1953-05-01","Ed Perlmutter","0",0
"221",412193,"RepJoeCourtney","Joe Courtney","M","Democrat","CT","1953-04-06","Joe Courtney","1",0
"222",412194,"ChrisMurphyCT","Christopher Murphy","M","Democrat","CT","1973-08-03","Christopher Murphy","0",0
"223",412195,"USRepKCastor","Kathy Castor","F","Democrat","FL","1966-08-20","Kathy Castor","0",0
"224",412196,"VernBuchanan","Vern Buchanan","M","Republican","FL","1951-05-08","Vern Buchanan","0",0
"225",412199,"RepHankJohnson","Henry C. ""Hank"" Johnson Jr.","M","Democrat","GA","1954-10-02","Henry Jr.","0",0
"226",412200,"MazieHirono","Mazie K. Hirono","F","Democrat","HI","1947-11-03","Mazie Hirono","0",0
"227",412202,"PeterRoskam","Peter J. Roskam","M","Republican","IL","1961-09-13","Peter Roskam","0",0
"228",412205,"SenDonnelly","Joe Donnelly","M","Democrat","IN","1955-09-28","Joe Donnelly","0",0
"229",412209,"DaveLoebsack","David Loebsack","M","Democrat","IA","1952-12-23","David Loebsack","1",0
"230",412211,"RepJohnYarmuth","John A. Yarmuth","M","Democrat","KY","1947-11-04","John Yarmuth","1",0
"231",412212,"RepSarbanes","John P. Sarbanes","M","Democrat","MD","1962-05-22","John Sarbanes","0",0
"232",412213,"RepWalberg","Tim Walberg","M","Republican","MI","1951-04-12","Tim Walberg","1",0
"233",412214,"RepTimWalz","Timothy J. Walz","M","Democrat","MN","1964-04-06","Timothy Walz","0",0
"234",412215,"KeithEllison","Keith Ellison","M","Democrat","MN","1963-08-04","Keith Ellison","1",0
"235",412217,"RepAdrianSmith","Adrian Smith","M","Republican","NE","1970-12-19","Adrian Smith","0",0
"236",412218,"SenDeanHeller","Dean Heller","M","Republican","NV","1960-05-10","Dean Heller","0",0
"237",412221,"YvetteClarke","Yvette D. Clarke","F","Democrat","NY","1964-11-21","Yvette Clarke","1",0
"238",412226,"Jim_Jordan","Jim Jordan","M","Republican","OH","1964-02-17","Jim Jordan","0",0
"239",412236,"RepCohen","Steve Cohen","M","Democrat","TN","1949-05-24","Steve Cohen","1",0
"240",412239,"PeterWelch","Peter Welch","M","Democrat","VT","1947-05-02","Peter Welch","1",0
"242",412243,"McCaskillOffice","Claire McCaskill","F","Democrat","MO","1953-07-24","Claire McCaskill","0",0
"243",412244,"SenatorTester","Jon Tester","M","Democrat","MT","1956-08-21","Jon Tester","0",0
"244",412246,"SenBobCasey","Robert P. Casey, Jr.","M","Democrat","PA","1960-04-13","Robert Jr.","0",0
"245",412247,"SenWhitehouse","Sheldon Whitehouse","M","Democrat","RI","1955-10-20","Sheldon Whitehouse","0",0
"246",412248,"SenBobCorker","Bob Corker","M","Republican","TN","1952-08-24","Bob Corker","0",1
"247",412250,"RepGusBilirakis","Gus M. Bilirakis","M","Republican","FL","1963-02-08","Gus Bilirakis","0",0
"248",412251,"SenJohnBarrasso","John Barrasso","M","Republican","WY","1952-07-21","John Barrasso","0",0
"249",412254,"NikiInTheHouse","Niki Tsongas","F","Democrat","MA","1946-04-26","Niki Tsongas","0",0
"250",412255,"RobWittman","Robert J. Wittman","M","Republican","VA","1959-02-03","Robert Wittman","0",0
"251",412256,"BobLatta","Robert E. Latta","M","Republican","OH","1956-04-18","Robert Latta","0",0
"252",412257,"RepBillFoster","Bill Foster","M","Democrat","IL","1955-10-07","Bill Foster","0",0
"253",412258,"RepAndreCarson","André Carson","M","Democrat","IN","1974-10-16","André Carson","0",0
"254",412259,"RepSpeier","Jackie Speier","F","Democrat","CA","1950-05-14","Jackie Speier","0",0
"255",412261,"SteveScalise","Steve Scalise","M","Republican","LA","1965-10-06","Steve Scalise","0",0
"256",412263,"RepDonnaEdwards","Donna F. Edwards","F","Democrat","MD","1958-06-28","Donna Edwards","1",0
"258",412270,"JasonInTheHouse","Jason Chaffetz","M","Republican","UT","1967-03-26","Jason Chaffetz","0",0
"259",412271,"RepMikeCoffman","Mike Coffman","M","Republican","CO","1955-03-19","Mike Coffman","0",0
"260",412272,"GerryConnolly","Gerald E. Connolly","M","Democrat","VA","1950-03-30","Gerald Connolly","0",0
"261",412275,"RepFleming","John Fleming","M","Republican","LA","1951-07-05","John Fleming","0",1
"263",412278,"RepGuthrie","Brett Guthrie","M","Republican","KY","1964-02-18","Brett Guthrie","1",0
"264",412280,"GreggHarper","Gregg Harper","M","Republican","MS","1956-06-01","Gregg Harper","0",0
"265",412281,"MartinHeinrich","Martin Heinrich","M","Democrat","NM","1971-10-17","Martin Heinrich","0",0
"266",412282,"JAHimes","James A. Himes","M","Democrat","CT","1966-07-05","James Himes","0",0
"267",412283,"Rep_Hunter","Duncan Hunter","M","Republican","CA","1976-12-07","Duncan Hunter","0",0
"268",412284,"RepLynnJenkins","Lynn Jenkins","F","Republican","KS","1963-06-10","Lynn Jenkins","0",0
"269",412286,"RepKirkpatrick","Ann Kirkpatrick","F","Democrat","AZ","1950-03-24","Ann Kirkpatrick","0",0
